 ,Area,Mean,Min,Max,Angle,Length
1,69,119.741,6.000,169.002,-103.627,67.912
2,67,114.970,10.333,168.928,-105.709,66.483
3,65,107.059,1.547,146.438,-112.135,63.695
4,59,122.022,102.422,164.667,-111.251,57.940
5,57,127.392,88.417,188.667,-112.932,56.462
6,47,116.804,73.831,149.688,-117.121,46.065
7,50,110.897,1.000,172.277,59.237,48.877
8,42,116.950,1.333,173.275,-127.147,41.400
9,71,110.538,0.333,174.476,-94.086,70.178
10,60,124.722,72.548,176.011,-95.807,59.304
11,29,112.265,5.667,140.381,-30.256,27.785
12,35,116.490,90.277,141.887,-24.305,34.015
13,47,105.826,1.000,167.013,-16.460,45.880
14,53,103.307,0.333,147.763,-16.699,52.202
15,53,116.736,0.950,166.441,-18.083,51.546
16,58,130.584,71.739,170.333,-45.000,56.569
17,61,119.910,1.821,168.489,-35.538,60.216
18,68,120.144,1.392,226.000,-55.359,66.851
19,45,123.151,86.087,156.286,-28.301,44.294
20,60,129.805,1.333,218.588,-53.326,58.600
