 ,Area,Mean,Min,Max,Angle,Length
1,19,114.583,98.907,126.778,-132.709,17.692
2,17,111.999,90.182,128.496,-55.305,15.811
3,16,118.267,109.52,127.947,-126.87,15
4,13,116.327,98,125.25,14.036,12.369
5,11,131.515,96,226.667,-90,10
6,13,102.801,93,115,41.634,12.042
7,13,115.981,94,126.417,41.634,12.042
8,14,128.172,100.667,218.544,-61.39,12.53
9,19,115.265,101.222,128.833,-132.709,17.692
10,13,112.096,92,133.333,-70.017,11.705
11,15,119.238,109.653,129.116,45,14.142
12,20,121.483,90.667,138.667,90,19
13,18,118.805,100,130.223,-30.964,17.493
14,18,118.805,100,130.223,-30.964,17.493
15,25,118.056,99.201,127.688,-141.71,24.207
16,12,117.208,103.333,127.771,-48.814,10.63
17,10,117.844,107.889,126.222,18.435,9.487
18,16,117.981,99,131.287,-58.392,15.264
19,8,154.578,105.231,222.667,56.31,7.211
20,11,113.206,97.667,122.667,53.13,10
21,12,123.195,110.656,134.333,-45,11.314
22,14,118.543,110,128.016,-128.66,12.806
23,11,121.8,110.667,126.107,45,9.899
24,12,120.751,100.333,131.84,-52.125,11.402
25,15,117.693,101.333,125.605,-140.711,14.213
26,15,117.693,101.333,125.605,-140.711,14.213
27,12,118.682,96,132.884,-37.875,11.402
28,9,113.171,100,128,45,8.485
29,13,119.239,106.611,128.5,-41.634,12.042
30,14,117.687,100.655,127.43,57.529,13.038
31,11,118.929,108.617,127.8,-29.055,10.296
32,11,118.073,100,125.933,78.69,10.198
33,15,119.017,99.765,128.833,162.897,13.601
34,10,112.619,104.667,119.63,35.538,8.602
35,10,119.154,110.667,126.222,-49.399,9.22
36,13,110.032,97.917,120.333,-120.964,11.662
37,7,114.992,105.444,126.667,9.462,6.083
38,10,125.33,88.864,213.012,-49.399,9.22
39,12,116.225,93.667,129.256,-123.69,10.817
40,8,117.374,107.313,123.429,33.69,7.211
41,351611,113.303,0,255,0,0
42,14,119.518,87.862,213.982,-38.66,12.806
43,10,117.88,100,129,130.601,9.22
44,14,114.669,98.696,182.333,51.34,12.806
45,8,139.518,88,216.333,-8.13,7.071
46,15,111.352,94.095,122.333,-94.086,14.036
47,10,117.443,101,130.235,-20.556,8.544
48,9,130.667,90.333,229.667,90,8
49,9,111,108.667,114.667,0,8
50,12,114.428,106,125.667,63.435,11.18
51,19,107.207,93.765,121.205,-22.38,18.385
52,13,113.697,94.167,129.667,-9.462,12.166
53,13,114.199,97,128,85.236,12.042
54,10,111.367,95.667,126.667,0,9
55,16,111.707,96.289,131.726,70.346,14.866
56,16,106.892,96.933,118.133,-11.31,15.297
57,11,117,109.667,125.667,-90,10
58,8,111.298,96,121.524,-15.945,7.28
59,10,125.833,87,230.333,-90,9
60,12,130.328,92.697,206.273,-10.305,11.18
